publish_date,headline_text
2007-02-20,actor ray liotta arrested
2007-02-20,ada calls for regional dental schools
2007-02-21,46m antarctic airstrip on track
2007-02-21,50 properties targeted in bikie drug raids
2007-02-21,64m contract awarded for lavarack barracks revamp
2007-02-21,abetz seeks national parks overhaul to halt
2007-02-21,accuracy of reef policing questioned
2007-02-21,addicts jailed for involvement in businessmans
2007-02-21,adelaide horse auction prices increase
2007-02-21,agreement reached on james brown burial
2007-02-21,alp highlights indigenous voting fears
2007-02-21,american psychological association study on
2007-02-22,10 arrested as cheney protesters defy march ban
2007-02-22,3 more anti logging protesters arrested
2007-02-22,abetz urges more local involvement in firefighting
2007-02-22,afl to trial rules in demons hawks clash
2007-02-22,ag college searches the world for sheep instructor
2007-02-22,alice based services to boost mental health
2007-02-22,arroyo promises action on extra judicial killings
2007-02-22,aust govt enters remains trial
2007-02-22,aust of the year nominee urges dairy industry exit
2007-02-22,aust to boost afghanistan troop numbers
2007-02-23,16 people die in indonesian ferry blaze
2007-02-23,6kg cannabis find lands woman in jail
2007-02-23,aboriginal remains trial adjourned
2007-02-23,act school counselling system criticised
2007-02-23,aerial approach to fighting blaze near albany
2007-02-23,afl heat policy extreme eade
2007-02-23,agostino inks deal with united
2007-02-23,all ords breaks 6000 mark
2007-02-23,alternatives sought to youth remand centre
2007-02-23,anc turns up race quota heat on springboks
2007-02-24,14 policemen die in indian ambush
2007-02-24,abattoir blaze put workers jobs under a cloud
2007-02-24,abattoir calls workers to crisis meeting after
2007-02-24,aboriginal leaders stage protest at london museum
2007-02-24,agent predicts big rent rise for sydney tenants
2007-02-24,airbus urged to restructure scrap cargo plane plan
2007-02-24,akhtar asif in doubt for world cup
2007-02-24,alderman fears for symonds long term future
2007-02-24,alliance would not be damaged by iraq withdrawal
2007-02-24,anu unveils student accommodation complex
2007-02-25,2 dead 3 injured in central qld road crash
2007-02-25,ailing funk regains lead in mexico
2007-02-25,american thompson wins nz pga championship
2007-02-25,andrews criticised over refugee plan
2007-02-25,australia still world cup favourites says inzy
2007-02-25,aust us alliance in spotlight after cheney comments
2007-02-25,author disappointed by euthanasia book ban
2007-02-25,authorities to check entire uk rail system after
2007-02-25,bangladesh announces world cup bonuses
2007-02-25,body found in river torrens in sa
2007-02-26,abb set for further diversification
2007-02-26,aborigines suffering under welfare to work scheme
2007-02-26,abstinence helps the heart grow older
2007-02-26,adaminaby mooted for plane storage
2007-02-26,adcock to line up for lions
2007-02-26,adelaide hotel occupancy rates jump
2007-02-26,afp signs with europol to help catch drug
2007-02-26,air link to antarctica gives australia a boost
2007-02-26,albino corn snakes in quarantine facility
2007-02-26,alcohol fuels brawl after nrl trial match
2007-02-27,2nd stage of landcorp development for sale
2007-02-27,abalone divers victims of deep sea crime
2007-02-27,aboriginal health service workers face prospect of
2007-02-27,afghan blast kills at least three as cheney visits
2007-02-27,afl rejects rule review
2007-02-27,afl to monitor kerr penalty
2007-02-27,airline urged to offer warrnambool melbourne
2007-02-27,alleged ferrari fraudster granted bail
2007-02-27,anna nicole smiths burial halted
2007-02-27,apple growers call for state based quarantine
